Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Land area (sq. km),AG.LND.TOTL.K2,,9327450,9327450,9327450,9327450,9327450,9327450,9327450,9327450,9327450,9327450,9327450,9327450,9327450,9327450,9327440,9327440,9327430,9327430,9327430,9327430,9327430,9327420,9327420,9327420,9327420,9327420,9327420,9327420,9327420,9327420,9327420,9327420,9327420,9327420,9327480,9327480,9327480,9327480,9327480,9327480,9327486,9327487,9327487,9327488,9327488,9327488.6,9327489.2,9327489.2,9327489.5,9327489.7,9327489.9,
"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,,5.093087807,5.369544132,5.797401436,6.454408257,7.126920299,9.846177979,12.3571133,15.40202124,17.9761739,12.63553419,15.18367224,19.28204094,23.86333931,28.43921901,35.46376782,40.85092004,48.10307524,57.56348937,68.87180542,77.14365285,81.68889481,83.66823529,76.21648345,77.00975488,71.28431332,72.54345307,73.27917246,72.08810724,69.5967912,66.63214237,64.08254812,61.96659751,60.23451534,57.96588034,56.13235138,56.40698029,58.53113788,60.73954058,65.97314826,81.76662175,,,,,,,,,,,,
Cereal production (metric tons),AG.PRD.CREL.MT,,109659981,120421285,137456218,152356630,162156283,177613488,181182154,177133004,176486737,200836843,212142745,206516963,221853429,234636856,244525531,250213719,243286024,273038121,292727508,280287435,286450032,315364047,345626498,365937319,339877363,352084647,359240679,351824286,367636069,404719069,398464065,404275210,407930459,396460125,418664203,453769199,445931406,458395242,455192423,407336509,398394824,399998235,376122503,413163997,429370167,452684532,457812318,480053075,483276840,497943454,520812293,
Crop production index (2004-2006 = 100),AG.PRD.CROP.XD,,18.71,19.61,20.37,21.85,23.67,25.48,25.78,25.65,25.77,27.59,28.53,27.66,31.09,31.3,31.88,31.58,32.23,35.57,36.58,36.21,38.16,41.96,45.27,49.21,47.39,48.26,50.77,51.06,52.16,56.27,57.08,58.99,62.74,64.24,68.85,74.4,76.75,78.97,81.56,84.98,86.99,90.94,90.54,97.37,100.02,102.6,107.7,114.36,116.41,119.97,126.33,
Food production index (2004-2006 = 100),AG.PRD.FOOD.XD,,13.59,14.34,15.12,16.3,17.67,18.72,18.99,18.92,19.14,20.04,21.15,21.04,22.82,22.92,23.43,23.38,23.7,26.04,27.59,27.62,29.11,31.65,33.8,36.89,37.45,39.56,41.39,42.71,44.35,48.51,49.97,52.79,57.31,60.98,66.12,70.38,73.93,78.35,81.16,83.84,85.32,89.12,90.61,96.55,100.5,102.95,106.27,112.68,116.17,119.7,124.04,
Livestock production index (2004-2006 = 100),AG.PRD.LVSK.XD,,4.37,4.91,6.58,7.91,8.8,9.45,9.9,9.9,9.86,9.94,11.11,12.1,12.37,12.41,12.79,12.92,13.21,14.26,16.67,18.43,19.2,20.46,21.4,24.61,27.13,29.3,31.14,34.83,36.65,39.79,44.08,48.07,53.87,60.78,66.65,68.9,74.28,79.96,82.26,84.99,86.53,88.89,92.61,96.03,100.72,103.25,102.97,108.19,112.68,115.68,116.16,
Surface area (sq. km),AG.SRF.TOTL.K2,,9599961,9599961,9599961,9599961,9599961,9599961,9599961,9599961,9599961,9599961,9599961,9599961,9599961,9599961,9599961,9599961,9599961,9599961,9599961,9599961,9599961,9599961,9599961,9599961,9599961,9599961,9599961,9599961,9599961,9599961,9599961,9599961,9599961,9599961,9599971,9599981,9599981,9599981,9599981,9599991,9599997,9599998,9599998,9599999,9599999,9599999.6,9600000.2,9600000.2,9600000.5,9600000.7,9600000.9,
Cereal yield (kg per hectare),AG.YLD.CREL.KG,,1211,1341.6,1506.9,1640.1,1764.3,1895.3,1952.2,1957.5,1915.9,2143.1,2187.1,2122.1,2288.1,2402.1,2492.8,2537,2501.5,2802,3041.9,2948.7,3091.6,3465.3,3724.4,3960.9,3827.8,3895,3978.3,3936.6,4020.2,4324.7,4232.7,4366.7,4567.7,4510.1,4663.7,4898.1,4826.2,4954,4947.1,4756.4,4802.2,4889.7,4877.7,5189.7,5225.6,5426,5319.8,5548.4,5449.8,5525.7,5705.5,
Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.680111772,7.9208078,7.950586495,7.187530089,6.078978214,6.16293604,5.789025312,
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.61096607,32.288595,35.30998702,37.24332866,35.80022024,30.27050284,27.3721852,
